"{441.4303283691406, 452.8440246582031}","{937.7542724609375, 355.01318359375}","{407.98480224609375, 71.099365234375}","{543.4857788085938, 170.740966796875}","{160.70770263671875, 56.7667236328125}","{81.9078140258789, 141.3270263671875}","{326.8196716308594, 265.48077392578125}","{312.7080993652344, 327.0128479003906}","{626.2810668945312, 355.21917724609375}","{708.4680786132812, 424.1104431152344}","{618.2341918945312, 486.16607666015625}","{592.2381591796875, 536.6976928710938}","{518.9302978515625, 574.9402465820312}","{887.8778076171875, 500.7285461425781}","{987.3890380859375, 707.1795043945312}"
"{441.8587951660156, 454.7027587890625}","{938.943115234375, 354.8360595703125}","{407.8771057128906, 71.90374755859375}","{542.3357543945312, 170.217041015625}","{162.81109619140625, 57.69244384765625}","{81.78822326660156, 140.44921875}","{328.781494140625, 267.0018615722656}","{313.1307373046875, 326.52984619140625}","{623.7655639648438, 355.8975524902344}","{708.7557373046875, 423.7155456542969}","{618.2332153320312, 484.7890319824219}","{591.9080200195312, 537.3262939453125}","{520.2691040039062, 574.8875122070312}","{888.2523193359375, 499.8247375488281}","{988.020751953125, 705.9469604492188}"
"{440.91827392578125, 452.6794738769531}","{941.05126953125, 355.7055358886719}","{407.44891357421875, 72.193115234375}","{543.852783203125, 170.78265380859375}","{162.97817993164062, 58.25634765625}","{82.00843048095703, 139.6146240234375}","{328.64849853515625, 267.3810119628906}","{313.25482177734375, 325.9056396484375}","{623.9288330078125, 356.391357421875}","{709.8182983398438, 423.4993591308594}","{615.2705078125, 483.3565368652344}","{592.2501220703125, 536.6943359375}","{521.8438720703125, 574.0972290039062}","{887.316650390625, 500.0286560058594}","{988.9111328125, 706.9515380859375}"
"{440.1883850097656, 453.8238525390625}","{938.91845703125, 355.3521423339844}","{405.93701171875, 73.52655029296875}","{543.0951538085938, 173.30731201171875}","{163.48587036132812, 60.33624267578125}","{81.29891204833984, 140.80145263671875}","{329.872314453125, 267.6712341308594}","{313.373291015625, 326.5613098144531}","{622.9911499023438, 355.27740478515625}","{707.3350219726562, 422.92535400390625}","{615.8904418945312, 482.547119140625}","{592.3739624023438, 537.118408203125}","{521.1326293945312, 573.2467041015625}","{887.0723266601562, 500.7183837890625}","{989.3836059570312, 708.1435546875}"
"{437.23095703125, 456.03271484375}","{940.4591674804688, 353.26715087890625}","{407.6830139160156, 74.96234130859375}","{542.8800659179688, 175.80633544921875}","{162.17233276367188, 59.63104248046875}","{82.51763916015625, 139.53497314453125}","{330.7409362792969, 268.6245422363281}","{314.1235046386719, 325.4584045410156}","{625.0160522460938, 354.23834228515625}","{707.2322998046875, 423.93658447265625}","{614.9176635742188, 482.456787109375}","{592.079345703125, 537.0033569335938}","{522.7529907226562, 574.4129638671875}","{888.0542602539062, 500.1072998046875}","{987.1492919921875, 709.6586303710938}"
"{438.2316589355469, 455.4553527832031}","{938.7074584960938, 351.7982482910156}","{408.30328369140625, 77.909423828125}","{542.228515625, 176.83392333984375}","{162.94964599609375, 59.9029541015625}","{80.4957275390625, 138.457763671875}","{330.1529846191406, 270.5982360839844}","{313.39501953125, 325.9781188964844}","{624.5855712890625, 353.8052673339844}","{707.1987915039062, 424.0245666503906}","{614.4312133789062, 484.2619323730469}","{592.6976928710938, 537.2749633789062}","{522.253662109375, 574.7393798828125}","{887.22607421875, 499.8402404785156}","{986.7052612304688, 710.86474609375}"
"{438.4266052246094, 456.1029357910156}","{937.3247680664062, 353.0896911621094}","{409.5886535644531, 82.08551025390625}","{542.5646362304688, 177.39349365234375}","{161.89955139160156, 58.7451171875}","{79.50102996826172, 138.19091796875}","{330.9578552246094, 273.8066101074219}","{313.7379455566406, 325.92291259765625}","{623.3108520507812, 355.1626892089844}","{708.74755859375, 424.2984619140625}","{616.6084594726562, 482.33740234375}","{590.58056640625, 534.2586059570312}","{524.3102416992188, 574.331787109375}","{887.9575805664062, 499.7446594238281}","{985.5003662109375, 710.3163452148438}"
"{440.1564636230469, 456.4248046875}","{935.2544555664062, 353.5155944824219}","{408.6419372558594, 83.60955810546875}","{541.20263671875, 177.54278564453125}","{163.32315063476562, 59.07080078125}","{79.45828247070312, 136.37109375}","{331.3825988769531, 274.09613037109375}","{313.177001953125, 324.6996154785156}","{621.1366577148438, 356.677978515625}","{708.049072265625, 424.96771240234375}","{618.1005249023438, 481.2004699707031}","{591.3479614257812, 533.7514038085938}","{523.2667846679688, 573.8070068359375}","{888.3550415039062, 499.67919921875}","{986.4524536132812, 709.6370849609375}"
"{437.0556640625, 456.0747985839844}","{936.0430297851562, 355.0871276855469}","{407.4753112792969, 83.282470703125}","{539.7481689453125, 179.44775390625}","{162.61376953125, 58.850341796875}","{80.89114379882812, 135.98876953125}","{332.29644775390625, 273.6927795410156}","{313.15576171875, 325.23651123046875}","{623.1922607421875, 356.8563232421875}","{708.6329345703125, 424.2652893066406}","{618.2020874023438, 481.4311828613281}","{593.787109375, 534.3292236328125}","{524.8920288085938, 574.1201171875}","{887.859130859375, 500.9482421875}","{985.5960693359375, 710.0672607421875}"
"{437.97113037109375, 455.3270568847656}","{935.6310424804688, 353.67291259765625}","{409.0421142578125, 83.49072265625}","{541.3993530273438, 181.071044921875}","{160.83761596679688, 60.64794921875}","{81.54920196533203, 135.274658203125}","{331.72869873046875, 274.87640380859375}","{312.970947265625, 324.75140380859375}","{623.6492309570312, 356.1619567871094}","{709.4415893554688, 423.7022705078125}","{619.9736328125, 481.1954040527344}","{593.2936401367188, 533.2545776367188}","{524.4016723632812, 576.2799072265625}","{887.2862548828125, 499.72467041015625}","{989.320068359375, 709.8643798828125}"
