"{742.3045654296875, 425.3663635253906}","{899.9114379882812, 527.20751953125}","{558.1226806640625, 668.8386840820312}","{470.822509765625, 624.6485595703125}","{77.40658569335938, 639.75634765625}"
"{744.38134765625, 423.36102294921875}","{900.6610107421875, 525.625}","{559.4406127929688, 668.021484375}","{469.8756103515625, 624.6769409179688}","{79.84254455566406, 640.5040283203125}"
"{745.6961669921875, 422.9551696777344}","{900.3247680664062, 526.0255737304688}","{559.3012084960938, 668.6461791992188}","{468.5276794433594, 626.1129150390625}","{76.68640899658203, 642.731201171875}"
"{745.6961669921875, 422.9551696777344}","{900.3247680664062, 526.0255737304688}","{559.3012084960938, 668.6461791992188}","{468.5276794433594, 626.1129150390625}","{76.68640899658203, 642.731201171875}"
"{747.3565063476562, 422.74920654296875}","{897.53369140625, 527.955810546875}","{560.072021484375, 668.7059326171875}","{467.48492431640625, 627.2713012695312}","{76.83300018310547, 644.3890991210938}"
"{747.7317504882812, 423.5632629394531}","{898.3279418945312, 528.3217163085938}","{562.0234985351562, 668.7833251953125}","{465.9915771484375, 628.2003173828125}","{75.15394592285156, 645.9744262695312}"
"{748.5870971679688, 423.3052062988281}","{898.4383544921875, 527.6016845703125}","{562.4080200195312, 668.41455078125}","{467.40081787109375, 630.1995849609375}","{74.62130737304688, 645.5560302734375}"
"{747.1497192382812, 423.5940246582031}","{899.6807861328125, 528.6234741210938}","{563.8839111328125, 667.3148803710938}","{467.47601318359375, 629.5877685546875}","{75.12329864501953, 643.9733276367188}"
"{747.6665649414062, 424.9858093261719}","{898.2853393554688, 528.041015625}","{561.420654296875, 665.5802612304688}","{467.4423522949219, 629.6547241210938}","{73.14996337890625, 644.7171630859375}"
"{747.4033203125, 426.3734436035156}","{899.3110961914062, 529.3699951171875}","{560.4058837890625, 668.3037719726562}","{468.9842224121094, 629.009765625}","{73.33479309082031, 644.6001586914062}"
"{747.7962036132812, 426.39031982421875}","{897.28955078125, 529.0181884765625}","{563.0674438476562, 665.7454833984375}","{467.9085693359375, 627.6834716796875}","{73.11292266845703, 642.9620361328125}"
"{747.3933715820312, 426.500732421875}","{900.0180053710938, 528.739501953125}","{562.6484985351562, 667.7617797851562}","{468.5452575683594, 627.3311157226562}","{72.6987075805664, 644.3771362304688}"
"{746.5399169921875, 426.3569641113281}","{900.6056518554688, 530.9471435546875}","{562.3045043945312, 668.1827392578125}","{468.7511291503906, 627.5820922851562}","{74.11465454101562, 644.5276489257812}"
"{745.2587280273438, 425.1248474121094}","{899.8290405273438, 534.0851440429688}","{561.29296875, 668.4159545898438}","{466.0166931152344, 629.3712158203125}","{73.87467193603516, 646.201904296875}"
"{742.3463134765625, 426.0581970214844}","{898.9087524414062, 533.7706909179688}","{563.7291259765625, 669.2741088867188}","{467.86932373046875, 628.3016357421875}","{74.13102722167969, 648.6243896484375}"
"{742.7410888671875, 426.6869201660156}","{899.3353271484375, 534.5053100585938}","{562.6796264648438, 669.2348022460938}","{468.05548095703125, 627.989990234375}","{74.86566925048828, 648.2286376953125}"
"{743.194580078125, 426.4092712402344}","{899.1015625, 531.0184936523438}","{562.7200317382812, 669.0156860351562}","{469.18927001953125, 626.3077392578125}","{75.88276672363281, 650.517578125}"
