"{574.601806640625, 116.715576171875}","{277.59527587890625, 456.4662170410156}","{219.2403106689453, 611.7000122070312}"
"{573.2241821289062, 116.40179443359375}","{277.4491882324219, 459.0926513671875}","{219.3971405029297, 611.5028076171875}"
"{574.6468505859375, 116.2626953125}","{277.2998962402344, 457.95880126953125}","{220.0864715576172, 610.038818359375}"
"{576.0444946289062, 117.67742919921875}","{276.64447021484375, 456.8135986328125}","{221.69210815429688, 609.2267456054688}"
"{574.40234375, 117.23394775390625}","{273.77099609375, 456.7225036621094}","{218.71160888671875, 609.403076171875}"
"{574.4213256835938, 116.93212890625}","{271.24127197265625, 456.9289245605469}","{217.3931121826172, 610.5889892578125}"
"{573.9962768554688, 119.5211181640625}","{272.32000732421875, 456.7725524902344}","{215.9915771484375, 608.7133178710938}"
"{575.5604248046875, 121.54425048828125}","{273.1688537597656, 457.7590637207031}","{216.22857666015625, 608.5438842773438}"
"{573.7570190429688, 122.43634033203125}","{272.8753662109375, 455.49951171875}","{216.81765747070312, 608.4713134765625}"
"{573.3991088867188, 123.0859375}","{273.0382080078125, 456.94659423828125}","{213.61961364746094, 607.8641357421875}"
"{571.1450805664062, 123.79498291015625}","{274.2208557128906, 459.00860595703125}","{213.77499389648438, 608.105712890625}"
"{572.2391967773438, 124.2064208984375}","{274.62274169921875, 459.20062255859375}","{213.8516387939453, 607.6910400390625}"
"{571.2822265625, 125.1126708984375}","{275.8657531738281, 460.06982421875}","{213.78750610351562, 609.6587524414062}"
"{569.2850341796875, 125.47796630859375}","{275.2153625488281, 459.73529052734375}","{210.08184814453125, 608.733154296875}"
"{567.6885375976562, 126.2628173828125}","{275.26324462890625, 461.8140869140625}","{209.596923828125, 609.3430786132812}"
"{565.4422607421875, 126.249755859375}","{275.3861083984375, 459.40594482421875}","{210.4521942138672, 610.3289794921875}"
"{566.3314819335938, 124.5242919921875}","{274.5671691894531, 459.7109680175781}","{209.09190368652344, 608.943359375}"
"{565.705078125, 123.595458984375}","{273.9811706542969, 457.99224853515625}","{210.2411651611328, 607.4939575195312}"
"{564.6203002929688, 123.90655517578125}","{272.6356201171875, 456.84808349609375}","{209.1019287109375, 608.6544189453125}"
"{565.6876831054688, 121.62652587890625}","{271.6744384765625, 456.4024353027344}","{207.745849609375, 607.2718505859375}"
"{565.7951049804688, 120.5172119140625}","{271.8150939941406, 455.8622131347656}","{209.19993591308594, 606.8432006835938}"
"{564.7093505859375, 121.560302734375}","{272.9654846191406, 456.70513916015625}","{210.44036865234375, 604.3671875}"
"{560.9579467773438, 123.03179931640625}","{273.4537658691406, 456.9067077636719}","{210.38209533691406, 602.20751953125}"
"{562.06591796875, 122.526611328125}","{273.8167419433594, 457.3839111328125}","{209.5041046142578, 601.5217895507812}"
