"{703.1171264648438, 237.43682861328125}","{642.8546752929688, 70.03399658203125}","{510.1799621582031, 191.65777587890625}","{438.73846435546875, 61.16949462890625}","{299.00665283203125, 247.67889404296875}","{277.0901794433594, 264.3226318359375}","{224.79396057128906, 334.75494384765625}","{194.4796905517578, 280.9140319824219}","{547.5498046875, 627.8179931640625}","{523.361083984375, 665.10986328125}","{423.03375244140625, 672.589111328125}","{264.3940124511719, 534.7066650390625}","{115.70098114013672, 614.901123046875}","{336.0712890625, 722.5039672851562}","{958.0267944335938, 402.7213439941406}","{680.3128662109375, 446.068115234375}","{600.69921875, 396.9037780761719}"
"{702.5403442382812, 237.4422607421875}","{644.3836059570312, 69.86236572265625}","{508.9748840332031, 189.9739990234375}","{439.7117004394531, 59.618408203125}","{299.57000732421875, 247.77593994140625}","{278.04986572265625, 261.58123779296875}","{224.32040405273438, 333.2034606933594}","{194.0115509033203, 278.0506896972656}","{548.0980224609375, 627.2020263671875}","{522.5980834960938, 663.470458984375}","{424.39227294921875, 670.7991333007812}","{265.7933349609375, 534.3679809570312}","{115.73472595214844, 613.630615234375}","{334.8658142089844, 721.50390625}","{959.8124389648438, 400.9525146484375}","{679.0687255859375, 444.66644287109375}","{596.6867065429688, 395.83233642578125}"
"{701.3538208007812, 238.5159912109375}","{643.93408203125, 71.51336669921875}","{510.97698974609375, 190.03057861328125}","{438.53961181640625, 59.2896728515625}","{299.532958984375, 249.43896484375}","{276.97064208984375, 262.1047058105469}","{226.6128692626953, 333.66986083984375}","{196.80218505859375, 280.459228515625}","{548.9848022460938, 628.2295532226562}","{522.0189208984375, 667.424560546875}","{425.13372802734375, 672.42724609375}","{266.4218444824219, 535.3507690429688}","{114.8695297241211, 615.2160034179688}","{334.9044189453125, 722.576416015625}","{957.3746337890625, 402.4019775390625}","{681.2730712890625, 445.4676818847656}","{596.6830444335938, 397.97802734375}"
"{700.3272094726562, 238.25091552734375}","{643.2479248046875, 69.52154541015625}","{509.5724792480469, 188.48553466796875}","{436.7930908203125, 58.48541259765625}","{301.5581359863281, 247.26611328125}","{275.9488525390625, 263.9127502441406}","{226.18490600585938, 333.726806640625}","{195.7615966796875, 279.018310546875}","{546.1417846679688, 626.4203491210938}","{522.4913330078125, 666.3645629882812}","{423.6476745605469, 672.66455078125}","{264.7298583984375, 533.4090576171875}","{114.94727325439453, 614.8297119140625}","{334.6574401855469, 722.1360473632812}","{958.4111938476562, 402.52587890625}","{681.0989990234375, 444.2772216796875}","{596.0303955078125, 399.5741882324219}"
"{699.2545166015625, 236.98870849609375}","{644.1202392578125, 69.599365234375}","{509.6268310546875, 187.54693603515625}","{437.43603515625, 56.987548828125}","{302.17303466796875, 246.9488525390625}","{276.3902282714844, 264.4107666015625}","{226.05934143066406, 334.9681396484375}","{197.44667053222656, 277.54815673828125}","{544.3095092773438, 625.93212890625}","{522.5458984375, 664.859375}","{423.72802734375, 674.4103393554688}","{263.947998046875, 532.8678588867188}","{115.7884750366211, 613.76904296875}","{334.6720886230469, 722.08740234375}","{958.82373046875, 402.96661376953125}","{680.8927001953125, 443.11688232421875}","{597.9698486328125, 401.2322082519531}"
"{697.9835815429688, 235.84771728515625}","{645.8864135742188, 69.31884765625}","{511.21240234375, 187.25006103515625}","{438.486328125, 56.8673095703125}","{299.7427673339844, 247.088623046875}","{275.8614501953125, 263.4219970703125}","{226.2781982421875, 334.2691955566406}","{197.2071990966797, 278.97711181640625}","{541.951171875, 627.2792358398438}","{520.1741333007812, 666.4512329101562}","{423.2689208984375, 673.9285278320312}","{264.4900207519531, 530.8524169921875}","{114.88683319091797, 614.9306030273438}","{335.13153076171875, 722.3745727539062}","{959.9871826171875, 403.0936279296875}","{678.7217407226562, 444.41162109375}","{596.6634521484375, 401.5462951660156}"
"{700.0816040039062, 235.8433837890625}","{646.8380737304688, 69.35333251953125}","{511.1688232421875, 186.5955810546875}","{440.23297119140625, 55.0235595703125}","{298.93341064453125, 244.3927001953125}","{275.5267028808594, 262.8746337890625}","{225.25550842285156, 333.32147216796875}","{195.24591064453125, 277.2274475097656}","{541.3129272460938, 626.2418823242188}","{520.4571533203125, 664.5507202148438}","{423.19403076171875, 673.5059814453125}","{264.71173095703125, 530.0755615234375}","{115.4746322631836, 614.2264404296875}","{334.9974670410156, 721.9251708984375}","{962.3453979492188, 402.1100158691406}","{677.6448974609375, 445.7402648925781}","{599.2109985351562, 401.84429931640625}"
"{703.3440551757812, 236.94757080078125}","{645.65185546875, 70.22369384765625}","{509.9400939941406, 186.236328125}","{442.0443115234375, 55.274169921875}","{295.5034484863281, 244.16741943359375}","{276.8920593261719, 262.3136291503906}","{225.00656127929688, 334.52886962890625}","{193.651123046875, 279.0171813964844}","{542.7366333007812, 626.5283813476562}","{520.93603515625, 664.1201171875}","{422.5312805175781, 675.9578857421875}","{265.3117370605469, 530.3867797851562}","{115.32368469238281, 614.2000122070312}","{334.85528564453125, 721.0281982421875}","{962.6547241210938, 403.35723876953125}","{679.8062133789062, 446.138427734375}","{599.3408203125, 402.3340759277344}"
"{702.8902587890625, 235.01373291015625}","{645.0914916992188, 72.6888427734375}","{510.0329895019531, 187.63079833984375}","{441.876953125, 56.0826416015625}","{295.15081787109375, 246.478271484375}","{277.62567138671875, 261.0732727050781}","{224.72328186035156, 335.21234130859375}","{191.9561767578125, 282.61669921875}","{545.22705078125, 626.7210693359375}","{522.288330078125, 664.23876953125}","{423.5712585449219, 674.2262573242188}","{265.33746337890625, 530.11474609375}","{116.08757781982422, 614.6288452148438}","{334.8094177246094, 722.0335083007812}","{961.733642578125, 403.2769775390625}","{678.2894897460938, 446.4586181640625}","{600.4291381835938, 400.3216857910156}"
"{704.1033325195312, 235.757080078125}","{643.87939453125, 73.13250732421875}","{508.63580322265625, 187.8167724609375}","{442.7040710449219, 54.8770751953125}","{295.0828552246094, 246.63482666015625}","{277.3833312988281, 260.58489990234375}","{225.32608032226562, 335.57220458984375}","{191.58470153808594, 284.70947265625}","{546.1812744140625, 625.0183715820312}","{524.9094848632812, 662.68505859375}","{420.829833984375, 672.10498046875}","{265.20928955078125, 530.8624877929688}","{115.71002960205078, 614.995849609375}","{334.2880554199219, 721.4384765625}","{960.924072265625, 403.3803405761719}","{678.4967651367188, 446.1109619140625}","{597.3099365234375, 398.6332092285156}"
