"{889.8043212890625, 88.1763916015625}","{512.6723022460938, 245.9959716796875}","{468.05535888671875, 136.8831787109375}","{275.4541015625, 38.94659423828125}","{348.58343505859375, 146.90960693359375}","{242.81710815429688, 219.76239013671875}","{247.51531982421875, 308.8677673339844}","{85.12446594238281, 100.763916015625}","{842.2547607421875, 298.1938171386719}","{740.21630859375, 309.0993347167969}","{829.4802856445312, 387.9421081542969}","{973.8216552734375, 523.405029296875}","{756.4696044921875, 562.3411865234375}","{857.8941650390625, 643.7144775390625}","{754.27685546875, 684.64208984375}","{508.7164611816406, 628.764404296875}"
"{887.7364501953125, 87.9273681640625}","{511.889404296875, 245.36248779296875}","{467.2855529785156, 136.12884521484375}","{276.28515625, 37.61279296875}","{349.2198181152344, 146.98565673828125}","{241.9061737060547, 219.26666259765625}","{248.13070678710938, 309.4814147949219}","{86.92871856689453, 101.0693359375}","{842.5742797851562, 298.803466796875}","{741.216552734375, 309.08416748046875}","{829.7494506835938, 389.64453125}","{974.7789916992188, 523.5546875}","{755.7347412109375, 563.4234619140625}","{859.4430541992188, 643.2684326171875}","{754.219970703125, 684.354248046875}","{508.4858703613281, 627.4906616210938}"
"{887.1926879882812, 86.769287109375}","{513.366455078125, 243.75970458984375}","{468.56427001953125, 137.724609375}","{277.9176940917969, 37.48272705078125}","{349.94635009765625, 147.58392333984375}","{239.3773193359375, 218.1322021484375}","{248.03530883789062, 307.5596923828125}","{86.00222778320312, 101.398681640625}","{845.4901733398438, 297.4933166503906}","{741.7857055664062, 309.5249938964844}","{829.114013671875, 389.79290771484375}","{975.228271484375, 521.200927734375}","{756.200439453125, 562.9326782226562}","{860.3651123046875, 642.6195068359375}","{753.470703125, 683.27587890625}","{508.9020690917969, 627.36083984375}"
"{887.1558837890625, 86.38165283203125}","{514.3070068359375, 244.0596923828125}","{471.0500183105469, 137.0234375}","{278.81292724609375, 33.77593994140625}","{348.7800598144531, 148.66363525390625}","{238.73500061035156, 217.64447021484375}","{247.61830139160156, 305.9206237792969}","{88.3634033203125, 102.8017578125}","{843.5833740234375, 296.84320068359375}","{743.6051635742188, 311.3584899902344}","{830.4032592773438, 388.1636657714844}","{975.6473999023438, 520.75732421875}","{755.4319458007812, 561.8875122070312}","{862.372314453125, 641.5281372070312}","{754.12158203125, 683.384765625}","{509.4071044921875, 629.690185546875}"
"{887.9603881835938, 88.92913818359375}","{513.5778198242188, 248.25592041015625}","{470.1318359375, 137.52227783203125}","{278.4280090332031, 32.37811279296875}","{346.1132507324219, 150.285888671875}","{238.7658233642578, 217.0439453125}","{245.89828491210938, 305.4962463378906}","{86.4894790649414, 103.30218505859375}","{841.8013916015625, 298.7836608886719}","{741.5592651367188, 312.1948547363281}","{829.552490234375, 389.1058654785156}","{975.0653076171875, 523.1737670898438}","{754.4163208007812, 561.16064453125}","{861.6902465820312, 642.0817260742188}","{754.4907836914062, 683.9544067382812}","{511.2084045410156, 631.3125}"
"{888.6181640625, 85.42230224609375}","{515.1937255859375, 247.45245361328125}","{471.42999267578125, 136.12762451171875}","{277.47979736328125, 30.9326171875}","{346.67828369140625, 150.91082763671875}","{239.34320068359375, 216.9716796875}","{248.70272827148438, 305.2397155761719}","{88.10310363769531, 102.26007080078125}","{844.0458374023438, 295.7853088378906}","{743.6640625, 312.4386291503906}","{832.2188720703125, 387.761474609375}","{972.96630859375, 521.63916015625}","{757.5147705078125, 556.6480712890625}","{862.3519287109375, 641.1485595703125}","{754.2481689453125, 683.6589965820312}","{514.4114379882812, 629.7833251953125}"
"{889.9636840820312, 88.08978271484375}","{516.8834228515625, 247.5455322265625}","{468.3616638183594, 136.30120849609375}","{279.14288330078125, 29.700439453125}","{346.4383850097656, 148.54852294921875}","{237.5224151611328, 221.74688720703125}","{250.29000854492188, 304.7236633300781}","{86.74380493164062, 103.7813720703125}","{843.952392578125, 299.1747131347656}","{742.2611694335938, 313.400146484375}","{829.4911499023438, 389.1029968261719}","{971.6254272460938, 522.60400390625}","{756.1976928710938, 557.3582763671875}","{859.405029296875, 642.1166381835938}","{754.1273193359375, 683.407958984375}","{514.236572265625, 631.7389526367188}"
"{890.225341796875, 90.45941162109375}","{515.5555419921875, 245.5111083984375}","{467.7397155761719, 135.8546142578125}","{279.519287109375, 29.9830322265625}","{345.2661437988281, 148.1829833984375}","{239.462890625, 219.31072998046875}","{249.5380859375, 306.07464599609375}","{86.92257690429688, 101.25274658203125}","{843.7279663085938, 298.29095458984375}","{740.6853637695312, 315.302734375}","{828.1416625976562, 391.459228515625}","{970.8056640625, 521.1102905273438}","{755.8832397460938, 558.5447387695312}","{861.3238525390625, 641.310302734375}","{753.8336181640625, 683.55810546875}","{515.4061279296875, 634.2481079101562}"
"{890.3748779296875, 89.744384765625}","{515.570068359375, 245.8050537109375}","{468.35809326171875, 135.688232421875}","{277.94769287109375, 31.415771484375}","{343.7549743652344, 149.37591552734375}","{240.52456665039062, 218.27490234375}","{253.09153747558594, 306.39166259765625}","{84.96713256835938, 100.9371337890625}","{846.7212524414062, 294.62860107421875}","{744.9389038085938, 316.0643310546875}","{829.0302124023438, 388.8830871582031}","{973.0798950195312, 520.8814697265625}","{755.4808349609375, 556.6178588867188}","{865.2254638671875, 641.045166015625}","{753.9126586914062, 683.2449951171875}","{516.25830078125, 634.9872436523438}"
"{891.07470703125, 90.14788818359375}","{513.232666015625, 247.02239990234375}","{467.9112854003906, 136.32965087890625}","{277.5394592285156, 32.85882568359375}","{343.57000732421875, 146.22918701171875}","{241.0063934326172, 219.22833251953125}","{250.98814392089844, 305.35198974609375}","{82.52938842773438, 99.145751953125}","{846.8253173828125, 292.84765625}","{744.5537719726562, 315.3123779296875}","{829.0043334960938, 391.1083679199219}","{973.6351318359375, 522.0684814453125}","{753.6526489257812, 556.6732177734375}","{865.7870483398438, 639.8881225585938}","{753.261474609375, 682.6972045898438}","{515.8729248046875, 635.0546875}"
"{893.0969848632812, 90.2679443359375}","{513.5206909179688, 246.265869140625}","{467.474609375, 135.70697021484375}","{278.1684875488281, 31.961669921875}","{343.54034423828125, 145.724609375}","{240.51840209960938, 217.7628173828125}","{250.2935791015625, 306.19140625}","{81.03196716308594, 100.82122802734375}","{846.5485229492188, 291.3022766113281}","{745.2392578125, 316.33477783203125}","{827.571044921875, 389.694580078125}","{974.5692138671875, 521.9506225585938}","{753.8042602539062, 557.561279296875}","{866.2706909179688, 638.7754516601562}","{753.1710815429688, 682.5171508789062}","{518.7364501953125, 635.221435546875}"
"{891.9732055664062, 86.73748779296875}","{513.523193359375, 247.08245849609375}","{467.74542236328125, 132.40155029296875}","{279.0893249511719, 32.108154296875}","{342.7986145019531, 145.86151123046875}","{239.7447509765625, 215.55535888671875}","{250.54078674316406, 306.1362609863281}","{82.34539031982422, 99.337646484375}","{846.4494018554688, 290.7186279296875}","{748.0302124023438, 317.3578796386719}","{827.809326171875, 388.41302490234375}","{974.862548828125, 521.0508422851562}","{755.1139526367188, 558.0284423828125}","{864.3795776367188, 637.8875122070312}","{754.1171875, 684.00634765625}","{521.6961059570312, 634.7527465820312}"
"{889.64794921875, 87.28961181640625}","{514.742431640625, 247.7786865234375}","{466.2384338378906, 129.402587890625}","{279.2393493652344, 33.67474365234375}","{343.02435302734375, 145.41790771484375}","{238.9913787841797, 216.34820556640625}","{250.06427001953125, 307.5987548828125}","{82.14828491210938, 99.23651123046875}","{845.4868774414062, 291.16888427734375}","{746.4373168945312, 316.7918701171875}","{826.9981079101562, 388.5294494628906}","{974.4678955078125, 520.797119140625}","{752.5242919921875, 558.41455078125}","{864.6116943359375, 638.8834228515625}","{754.2847290039062, 683.8189697265625}","{522.5042114257812, 636.7295532226562}"
"{890.4896850585938, 87.43109130859375}","{514.4944458007812, 245.72222900390625}","{466.9764709472656, 128.88336181640625}","{280.4350280761719, 32.31304931640625}","{343.77484130859375, 145.7646484375}","{238.82823181152344, 216.36541748046875}","{248.43704223632812, 308.79229736328125}","{84.92463684082031, 97.57623291015625}","{845.2050170898438, 290.2301330566406}","{747.7620849609375, 317.2223815917969}","{827.4447021484375, 389.48968505859375}","{978.5946655273438, 520.0684814453125}","{753.1980590820312, 558.2685546875}","{865.5035400390625, 635.6775512695312}","{754.1588134765625, 683.9091186523438}","{522.251708984375, 638.505615234375}"
"{892.114013671875, 86.875244140625}","{513.785888671875, 246.11285400390625}","{467.53900146484375, 130.29461669921875}","{278.88763427734375, 34.84869384765625}","{344.6936340332031, 144.81695556640625}","{239.97836303710938, 213.1898193359375}","{248.47256469726562, 309.16021728515625}","{84.90714263916016, 98.387939453125}","{843.71533203125, 291.2823486328125}","{748.349609375, 317.46124267578125}","{828.4353637695312, 389.3321228027344}","{978.2711791992188, 522.306640625}","{753.3096923828125, 561.0540161132812}","{864.4034423828125, 638.77880859375}","{754.3740234375, 684.2371826171875}","{522.4268188476562, 636.5451049804688}"
"{893.5885009765625, 86.1658935546875}","{515.2623901367188, 245.8931884765625}","{466.640869140625, 127.7423095703125}","{279.196533203125, 34.77935791015625}","{342.7010803222656, 143.80413818359375}","{238.7373504638672, 214.3994140625}","{250.383056640625, 306.7504577636719}","{84.45984649658203, 97.216552734375}","{844.520263671875, 290.3915100097656}","{746.3494873046875, 318.38873291015625}","{828.2518920898438, 388.93853759765625}","{978.56689453125, 521.67724609375}","{750.6115112304688, 560.880126953125}","{865.095947265625, 638.7421264648438}","{754.3257446289062, 684.1961669921875}","{522.3135986328125, 639.30419921875}"
"{893.5734252929688, 84.58953857421875}","{513.7525024414062, 248.16448974609375}","{469.9844055175781, 126.31085205078125}","{279.00634765625, 34.8680419921875}","{342.12152099609375, 141.91259765625}","{237.53115844726562, 214.7369384765625}","{251.24356079101562, 307.5138854980469}","{84.70138549804688, 96.14349365234375}","{842.482421875, 291.7757263183594}","{744.88623046875, 318.4962158203125}","{826.9290161132812, 388.4501647949219}","{980.315185546875, 523.8399658203125}","{749.743896484375, 560.9654541015625}","{865.5718383789062, 639.1456298828125}","{754.4043579101562, 683.7202758789062}","{520.5009765625, 639.64794921875}"
"{893.5734252929688, 84.58953857421875}","{513.7525024414062, 248.16448974609375}","{469.9844055175781, 126.31085205078125}","{279.00634765625, 34.8680419921875}","{342.12152099609375, 141.91259765625}","{237.53115844726562, 214.7369384765625}","{251.24356079101562, 307.5138854980469}","{84.70138549804688, 96.14349365234375}","{842.482421875, 291.7757263183594}","{744.88623046875, 318.4962158203125}","{826.9290161132812, 388.4501647949219}","{980.315185546875, 523.8399658203125}","{749.743896484375, 560.9654541015625}","{865.5718383789062, 639.1456298828125}","{754.4043579101562, 683.7202758789062}","{520.5009765625, 639.64794921875}"
"{893.1556396484375, 86.060791015625}","{512.7291259765625, 251.7484130859375}","{468.68048095703125, 125.81219482421875}","{278.1718444824219, 37.43304443359375}","{340.4255676269531, 144.9813232421875}","{234.9721221923828, 214.052001953125}","{253.62039184570312, 309.7224426269531}","{82.76941680908203, 100.22393798828125}","{841.1954956054688, 292.84075927734375}","{743.87548828125, 315.7291259765625}","{827.4482421875, 386.5488586425781}","{980.5465087890625, 525.9174194335938}","{749.0573120117188, 564.3740234375}","{863.16064453125, 639.0055541992188}","{754.29638671875, 684.5382080078125}","{520.7606201171875, 639.1282958984375}"
"{892.084228515625, 83.119384765625}","{514.0884399414062, 252.09478759765625}","{469.1112365722656, 125.25830078125}","{279.02593994140625, 38.33502197265625}","{341.3793640136719, 144.96759033203125}","{234.15896606445312, 215.99774169921875}","{253.94683837890625, 310.4474792480469}","{82.32806396484375, 100.4727783203125}","{842.4126586914062, 288.39581298828125}","{745.8078002929688, 315.6473083496094}","{827.5192260742188, 386.3549499511719}","{982.6591186523438, 524.550537109375}","{751.2064208984375, 562.9269409179688}","{862.1881103515625, 640.0894165039062}","{754.4838256835938, 684.142822265625}","{519.2628173828125, 639.71533203125}"
"{893.85400390625, 82.838623046875}","{514.5300903320312, 256.3050231933594}","{470.0013122558594, 125.44427490234375}","{279.0533142089844, 37.99603271484375}","{342.8290710449219, 145.679443359375}","{234.9853515625, 215.9327392578125}","{251.57090759277344, 309.6557312011719}","{83.35081481933594, 101.0853271484375}","{845.5234375, 288.5169982910156}","{744.8816528320312, 316.9037170410156}","{826.8356323242188, 384.761474609375}","{981.4583129882812, 522.6178588867188}","{750.9088134765625, 563.2841796875}","{858.8380737304688, 639.9566040039062}","{754.09228515625, 683.635986328125}","{522.2935791015625, 639.9508056640625}"
"{893.3165893554688, 83.695068359375}","{513.7754516601562, 256.588623046875}","{471.0205993652344, 128.15478515625}","{276.9045715332031, 37.88641357421875}","{340.4654541015625, 146.64459228515625}","{233.74246215820312, 218.20953369140625}","{251.94943237304688, 308.4293212890625}","{82.79371643066406, 100.28668212890625}","{845.3712158203125, 288.2705078125}","{744.6724853515625, 316.3840637207031}","{827.4385986328125, 383.86639404296875}","{982.8096923828125, 523.7366943359375}","{749.2725219726562, 563.7055053710938}","{859.281494140625, 637.9617919921875}","{754.23193359375, 683.187255859375}","{521.4789428710938, 641.2913818359375}"
