"{324.4607849121094, 275.87921142578125}","{213.4480743408203, 39.05560302734375}","{595.90869140625, 97.07012939453125}","{691.6741943359375, 121.48480224609375}","{901.7528076171875, 681.9300537109375}","{553.9951782226562, 380.5341491699219}","{431.9504699707031, 409.5282287597656}","{279.6930847167969, 533.5299072265625}","{277.1832580566406, 445.3315124511719}","{218.79129028320312, 452.12469482421875}","{119.41732788085938, 429.7053527832031}"
"{325.92889404296875, 277.6071472167969}","{217.09988403320312, 38.1455078125}","{597.205810546875, 99.3106689453125}","{689.624755859375, 120.44061279296875}","{900.3953247070312, 680.5703125}","{554.2615966796875, 379.9870300292969}","{431.4506530761719, 410.07012939453125}","{279.65594482421875, 533.15673828125}","{276.3773193359375, 444.5934753417969}","{219.8863525390625, 451.8620300292969}","{118.24394226074219, 430.16778564453125}"
"{326.3099060058594, 279.41259765625}","{212.7211151123047, 37.714111328125}","{597.3013305664062, 98.83935546875}","{687.5950927734375, 121.28271484375}","{901.024658203125, 680.0125122070312}","{552.9212036132812, 380.326171875}","{432.70355224609375, 411.76593017578125}","{279.8231201171875, 529.2171630859375}","{275.4139709472656, 443.4440612792969}","{220.76123046875, 453.5920715332031}","{116.44288635253906, 432.7682189941406}"
"{325.5506591796875, 278.4369812011719}","{214.56182861328125, 38.255126953125}","{598.2963256835938, 99.95428466796875}","{688.2529907226562, 120.51513671875}","{899.5457153320312, 681.757568359375}","{554.1082763671875, 377.703125}","{430.5921325683594, 411.128173828125}","{279.9595947265625, 532.0244750976562}","{276.697998046875, 441.0596008300781}","{221.14219665527344, 454.3884582519531}","{115.07974243164062, 433.00299072265625}"
"{323.7494812011719, 275.9516906738281}","{216.5630645751953, 35.8671875}","{598.126953125, 100.01995849609375}","{688.7577514648438, 120.31011962890625}","{899.9645385742188, 682.9134521484375}","{551.3721923828125, 379.5549011230469}","{432.1257629394531, 410.87139892578125}","{279.68780517578125, 532.39453125}","{276.7431335449219, 440.4791259765625}","{220.13027954101562, 454.882080078125}","{115.14671325683594, 434.49945068359375}"
"{324.264404296875, 276.4947204589844}","{217.40467834472656, 33.0101318359375}","{600.7102661132812, 98.76129150390625}","{689.37060546875, 121.13092041015625}","{900.3560791015625, 684.7800903320312}","{549.7162475585938, 380.1401672363281}","{432.9100036621094, 411.88153076171875}","{277.8583068847656, 532.6428833007812}","{278.3804626464844, 438.3294677734375}","{221.48277282714844, 455.11334228515625}","{114.59620666503906, 435.2122497558594}"
"{325.93499755859375, 274.8481140136719}","{215.81887817382812, 35.18255615234375}","{601.548095703125, 99.3701171875}","{688.6889038085938, 122.04266357421875}","{900.1796875, 685.88232421875}","{548.505126953125, 381.0538635253906}","{430.77337646484375, 408.20806884765625}","{278.9772033691406, 531.4515991210938}","{277.9339294433594, 437.7108459472656}","{222.1453399658203, 454.3775939941406}","{113.89360809326172, 436.6648254394531}"
"{325.09783935546875, 273.400390625}","{215.05459594726562, 32.783447265625}","{600.8941650390625, 98.235107421875}","{690.6218872070312, 123.1656494140625}","{901.0963745117188, 687.20751953125}","{549.6167602539062, 381.3814697265625}","{430.533935546875, 407.52325439453125}","{279.120849609375, 533.3091430664062}","{277.22723388671875, 437.0891418457031}","{220.89971923828125, 456.6317443847656}","{114.45828247070312, 437.7449035644531}"
"{324.5563049316406, 273.07318115234375}","{214.78887939453125, 31.4842529296875}","{599.6473388671875, 99.77630615234375}","{688.7879028320312, 125.8594970703125}","{901.3706665039062, 686.5068359375}","{549.4700927734375, 381.5917053222656}","{431.2898254394531, 408.6075744628906}","{279.6180114746094, 531.0296630859375}","{277.5465087890625, 437.7950439453125}","{221.10397338867188, 455.8434753417969}","{116.5904769897461, 437.95208740234375}"
"{324.5563049316406, 273.07318115234375}","{214.78887939453125, 31.4842529296875}","{599.6473388671875, 99.77630615234375}","{688.7879028320312, 125.8594970703125}","{901.3706665039062, 686.5068359375}","{549.4700927734375, 381.5917053222656}","{431.2898254394531, 408.6075744628906}","{279.6180114746094, 531.0296630859375}","{277.5465087890625, 437.7950439453125}","{221.10397338867188, 455.8434753417969}","{116.5904769897461, 437.95208740234375}"
"{321.41632080078125, 271.4820251464844}","{213.57711791992188, 31.46881103515625}","{597.21533203125, 99.936279296875}","{685.1600952148438, 123.646484375}","{901.5038452148438, 685.8426513671875}","{546.9183349609375, 382.7091064453125}","{429.7232971191406, 408.5663146972656}","{281.8213195800781, 533.5755615234375}","{273.8767395019531, 437.26318359375}","{221.34530639648438, 452.8691101074219}","{115.81350708007812, 438.10406494140625}"
"{320.1563720703125, 272.1029357910156}","{214.4578094482422, 30.3515625}","{598.7948608398438, 98.45654296875}","{686.1909790039062, 124.997802734375}","{900.8623657226562, 684.716064453125}","{548.9081420898438, 384.04742431640625}","{429.3117370605469, 405.9291687011719}","{282.9252624511719, 531.0923461914062}","{274.24505615234375, 434.6208801269531}","{220.12875366210938, 452.0788879394531}","{115.80598449707031, 435.78350830078125}"
"{321.0960998535156, 271.8537292480469}","{216.33392333984375, 29.92138671875}","{597.8079223632812, 97.01617431640625}","{685.6817016601562, 125.57049560546875}","{902.592041015625, 684.8319091796875}","{549.2876586914062, 384.662109375}","{429.6558532714844, 405.3005676269531}","{283.91326904296875, 528.714111328125}","{273.51104736328125, 433.6754150390625}","{221.31869506835938, 452.8061828613281}","{117.65524291992188, 435.19476318359375}"
