"{916.107177734375, 529.2063598632812}","{843.1358642578125, 446.002197265625}","{443.78717041015625, 377.3605041503906}","{253.7501678466797, 91.734619140625}",Missing[],"{375.7077331542969, 525.9698486328125}"
"{915.4706420898438, 528.9811401367188}","{844.2266235351562, 446.8393859863281}","{441.7561340332031, 374.5601501464844}","{252.2004852294922, 91.3551025390625}",Missing[],"{374.36712646484375, 523.7271728515625}"
"{915.54296875, 530.0128784179688}","{844.1567993164062, 446.34246826171875}","{440.61669921875, 375.6917419433594}","{253.45635986328125, 92.6805419921875}",Missing[],"{375.0509033203125, 523.274169921875}"
"{915.8679809570312, 529.948974609375}","{844.9473266601562, 446.9801940917969}","{441.7320861816406, 374.46826171875}","{253.38970947265625, 93.90008544921875}",Missing[],"{375.6473388671875, 523.383544921875}"
"{914.0780639648438, 530.8150634765625}","{846.8737182617188, 444.7982482910156}","{442.0024108886719, 374.8067626953125}","{252.7509002685547, 95.49847412109375}",Missing[],"{374.8331298828125, 524.18212890625}"
"{914.6126708984375, 531.314453125}","{845.7400512695312, 445.594482421875}","{442.92803955078125, 374.801513671875}","{253.33419799804688, 96.935791015625}",Missing[],"{374.3840026855469, 525.7443237304688}"
"{914.7945556640625, 530.693359375}","{844.5328979492188, 446.4571838378906}","{443.025146484375, 375.0021057128906}","{253.07501220703125, 98.506103515625}",Missing[],"{373.23553466796875, 524.01708984375}"
"{914.1838989257812, 529.74267578125}","{844.154052734375, 444.8452453613281}","{442.8135681152344, 376.84527587890625}","{251.8197021484375, 100.081298828125}",Missing[],"{373.921630859375, 524.1160888671875}"
"{912.2567138671875, 528.8969116210938}","{841.703369140625, 442.1715393066406}","{442.3832092285156, 376.7178649902344}","{249.42420959472656, 99.8590087890625}",Missing[],"{373.5732727050781, 522.2437744140625}"
"{913.847900390625, 526.572021484375}","{841.8078002929688, 441.5708312988281}","{439.2113952636719, 379.9340515136719}","{249.22215270996094, 102.38409423828125}",Missing[],"{372.6892395019531, 522.455810546875}"
"{912.0206909179688, 527.196533203125}","{841.0015869140625, 442.17755126953125}","{439.6470642089844, 377.6642150878906}","{252.0911407470703, 102.00701904296875}",Missing[],"{373.1172790527344, 522.6250610351562}"
"{913.015869140625, 526.0733032226562}","{841.0515747070312, 441.4510803222656}","{440.6479797363281, 377.0202331542969}","{252.420654296875, 100.568359375}",Missing[],"{370.63433837890625, 523.6630249023438}"
"{913.2299194335938, 525.250732421875}","{840.740966796875, 439.1203308105469}","{441.020263671875, 373.4314270019531}","{253.30490112304688, 100.54388427734375}",Missing[],"{371.7339172363281, 523.6814575195312}"
"{913.0514526367188, 525.2560424804688}","{838.9935302734375, 438.2906494140625}","{441.3985900878906, 374.2274475097656}","{253.0779571533203, 100.34161376953125}",Missing[],"{372.4168395996094, 524.3070068359375}"
"{911.509033203125, 524.6649169921875}","{842.844970703125, 440.0582580566406}","{441.8910217285156, 377.0408020019531}","{254.19175720214844, 100.73358154296875}",Missing[],"{372.25567626953125, 522.619873046875}"
"{912.2399291992188, 522.6823120117188}","{843.4718627929688, 440.3109130859375}","{440.996826171875, 374.1728210449219}","{252.98284912109375, 99.8873291015625}",Missing[],"{371.4488220214844, 522.2023315429688}"
"{912.1659545898438, 524.5905151367188}","{845.6168823242188, 442.1298522949219}","{442.8174743652344, 375.46075439453125}","{253.10421752929688, 101.2669677734375}",Missing[],"{370.63470458984375, 523.3780517578125}"
"{913.7819213867188, 522.9619140625}","{845.2238159179688, 441.40576171875}","{441.5088806152344, 374.5008239746094}","{251.94970703125, 102.269287109375}",Missing[],"{370.0923767089844, 524.4471435546875}"
"{912.2652587890625, 525.904052734375}","{844.0267333984375, 444.7173156738281}","{440.9599609375, 373.62744140625}","{252.1856231689453, 102.2734375}",Missing[],"{368.57476806640625, 527.2407836914062}"
"{912.8556518554688, 526.80126953125}","{842.6759643554688, 444.6816101074219}","{440.9543151855469, 373.703369140625}","{253.802001953125, 102.76678466796875}",Missing[],"{366.0777282714844, 528.7655029296875}"
"{914.0123291015625, 527.3466796875}","{841.97509765625, 444.3266906738281}","{440.5710754394531, 376.0433349609375}","{254.3408203125, 103.21307373046875}",Missing[],"{367.9537658691406, 530.3383178710938}"
"{914.864013671875, 526.152099609375}","{842.7716064453125, 442.4686584472656}","{442.6065673828125, 375.3683166503906}","{254.8276824951172, 100.52960205078125}",Missing[],"{368.0047607421875, 529.91455078125}"
"{914.67431640625, 524.6046142578125}","{842.4100341796875, 441.7184143066406}","{443.03533935546875, 372.650390625}","{256.1636657714844, 101.1614990234375}",Missing[],"{367.2388916015625, 530.2379150390625}"
"{913.64794921875, 524.9820556640625}","{841.795654296875, 440.4585876464844}","{441.4529724121094, 374.37872314453125}","{257.9130859375, 100.54864501953125}",Missing[],"{367.84429931640625, 531.1839599609375}"
"{914.10400390625, 524.5178833007812}","{841.9835205078125, 443.350830078125}","{442.87628173828125, 374.316650390625}","{259.5119323730469, 98.688720703125}",Missing[],"{366.74664306640625, 531.2774658203125}"
"{913.7963256835938, 522.3477172851562}","{842.6005859375, 444.3350524902344}","{443.5036315917969, 375.1824951171875}","{261.8592834472656, 99.11065673828125}",Missing[],"{365.5290832519531, 530.9321899414062}"
"{914.7468872070312, 523.8678588867188}","{843.0159301757812, 443.8229064941406}","{442.44091796875, 375.2814025878906}","{260.46966552734375, 99.37255859375}",Missing[],"{365.3153381347656, 529.1464233398438}"
"{914.7468872070312, 523.8678588867188}","{843.0159301757812, 443.8229064941406}","{442.44091796875, 375.2814025878906}","{260.46966552734375, 99.37255859375}",Missing[],"{365.3153381347656, 529.1464233398438}"
"{915.0577392578125, 525.829833984375}","{841.4205322265625, 447.4163513183594}","{444.86309814453125, 374.01849365234375}","{261.8423156738281, 99.8231201171875}",Missing[],"{366.81170654296875, 525.4141235351562}"
"{915.4442138671875, 524.9409790039062}","{842.1517944335938, 447.8134460449219}","{441.99420166015625, 376.03533935546875}","{262.9792175292969, 100.78125}",Missing[],"{365.1557312011719, 524.343994140625}"
"{917.5007934570312, 523.4261474609375}","{842.7510986328125, 449.656005859375}","{442.9785461425781, 379.49993896484375}","{264.1462707519531, 102.0166015625}",Missing[],"{365.5892639160156, 522.6006469726562}"
"{917.2459716796875, 525.5803833007812}","{843.5028076171875, 452.0948486328125}","{440.7381591796875, 380.073974609375}","{265.5376281738281, 102.92974853515625}",Missing[],"{367.3551025390625, 526.2954711914062}"
"{918.3666381835938, 528.4006958007812}","{840.7740478515625, 451.3407287597656}","{441.32818603515625, 380.2322998046875}","{265.4098205566406, 104.0731201171875}",Missing[],"{367.1932373046875, 526.625732421875}"
"{917.4286499023438, 529.11572265625}","{840.433837890625, 452.2018737792969}","{442.58709716796875, 382.37127685546875}","{267.4887390136719, 102.73858642578125}",Missing[],"{368.7129211425781, 526.820556640625}"
"{919.6140747070312, 528.521728515625}","{841.2452392578125, 453.4252624511719}","{443.13616943359375, 383.60382080078125}","{267.0543212890625, 102.3048095703125}",Missing[],"{371.23333740234375, 530.0171508789062}"
"{920.4481811523438, 528.3978271484375}","{840.2556762695312, 453.24468994140625}","{441.7341613769531, 382.278076171875}","{267.90869140625, 104.5609130859375}",Missing[],"{370.1162414550781, 531.1571044921875}"
"{918.3948364257812, 529.0521850585938}","{837.2777099609375, 450.5467529296875}","{441.0480651855469, 383.3594970703125}","{264.7918701171875, 104.66363525390625}",Missing[],"{371.0968933105469, 531.8953857421875}"
"{919.0073852539062, 530.08154296875}","{837.7443237304688, 452.0054931640625}","{439.3563537597656, 383.6070556640625}","{266.61578369140625, 105.1358642578125}",Missing[],"{372.7864990234375, 530.92578125}"
"{919.5078125, 531.107421875}","{837.6934814453125, 453.85589599609375}","{440.5898132324219, 384.9347839355469}","{266.2203063964844, 105.177001953125}",Missing[],"{372.2423400878906, 532.8517456054688}"
"{915.5076904296875, 531.199951171875}","{836.0836181640625, 454.57421875}","{441.5702209472656, 384.8965148925781}","{266.68914794921875, 105.88836669921875}",Missing[],"{373.6116027832031, 534.2803955078125}"
"{914.3518676757812, 531.4705200195312}","{835.181884765625, 456.28759765625}","{442.0442199707031, 381.3208923339844}","{266.9818420410156, 106.1446533203125}",Missing[],"{376.20599365234375, 534.1314086914062}"
"{913.4989013671875, 532.013427734375}","{833.7185668945312, 456.6669616699219}","{441.7904052734375, 380.9944763183594}","{267.74249267578125, 107.04241943359375}",Missing[],"{378.433837890625, 532.4238891601562}"
"{913.4989013671875, 532.013427734375}","{833.7185668945312, 456.6669616699219}","{441.7904052734375, 380.9944763183594}","{267.74249267578125, 107.04241943359375}",Missing[],"{378.433837890625, 532.4238891601562}"
"{916.5509033203125, 532.1460571289062}","{831.3270263671875, 457.4573059082031}","{441.5521240234375, 383.535400390625}","{270.27545166015625, 105.54412841796875}",Missing[],"{378.0421447753906, 532.412353515625}"
"{917.3560180664062, 532.3134155273438}","{830.2297973632812, 456.2449951171875}","{441.2957763671875, 382.3275451660156}","{270.6338195800781, 106.91888427734375}",Missing[],"{377.8560485839844, 534.0839233398438}"
"{915.8003540039062, 530.300537109375}","{830.2910766601562, 459.98876953125}","{441.3756408691406, 382.7209167480469}","{268.41754150390625, 107.44354248046875}",Missing[],"{378.4671630859375, 535.7890014648438}"
"{916.146484375, 531.2129516601562}","{829.0601806640625, 460.0823669433594}","{441.53057861328125, 386.14154052734375}","{265.9326477050781, 110.43841552734375}",Missing[],"{378.67572021484375, 537.0140991210938}"
"{915.7709350585938, 532.069580078125}","{831.9332275390625, 459.281982421875}","{439.2978210449219, 384.6531066894531}","{267.4039001464844, 112.55291748046875}",Missing[],"{378.45379638671875, 533.8299560546875}"
"{917.2388916015625, 532.0354614257812}","{831.2007446289062, 461.4867248535156}","{438.9250793457031, 383.92840576171875}","{267.5575256347656, 114.80169677734375}",Missing[],"{379.3700866699219, 535.5010986328125}"
"{918.4064331054688, 534.0648803710938}","{833.5360107421875, 462.35675048828125}","{440.1330871582031, 386.58966064453125}","{267.82635498046875, 114.92462158203125}",Missing[],"{382.19757080078125, 537.1509399414062}"
"{916.9545288085938, 534.4423217773438}","{835.9655151367188, 463.2498779296875}","{439.0159912109375, 385.05047607421875}","{271.26531982421875, 115.1864013671875}",Missing[],"{384.49053955078125, 536.9917602539062}"
"{916.9545288085938, 534.4423217773438}","{835.9655151367188, 463.2498779296875}","{439.0159912109375, 385.05047607421875}","{271.26531982421875, 115.1864013671875}",Missing[],"{384.49053955078125, 536.9917602539062}"
"{915.5640869140625, 533.6656494140625}","{835.0910034179688, 463.5769958496094}","{438.9596862792969, 387.2420349121094}","{273.1949462890625, 114.48089599609375}",Missing[],"{385.3811340332031, 539.099609375}"
"{919.3004760742188, 534.7485961914062}","{834.496826171875, 464.40753173828125}","{439.3132019042969, 387.7693786621094}","{271.9999694824219, 114.37567138671875}",Missing[],"{386.0032043457031, 536.9425048828125}"
"{918.769287109375, 535.8524780273438}","{834.93798828125, 465.1944274902344}","{438.3267822265625, 389.4752197265625}","{271.94183349609375, 114.70269775390625}",Missing[],"{385.74847412109375, 537.3243408203125}"
"{917.8046264648438, 536.7169799804688}","{836.2398071289062, 467.876220703125}","{438.1415100097656, 387.0252990722656}","{271.7380065917969, 115.81390380859375}",Missing[],"{386.10919189453125, 539.0096435546875}"
"{916.610107421875, 537.18994140625}","{835.5175170898438, 466.0992126464844}","{435.0879821777344, 384.923583984375}","{270.0367126464844, 113.0677490234375}",Missing[],"{387.78668212890625, 538.2486572265625}"
"{914.96630859375, 538.094482421875}","{834.9774169921875, 466.3587951660156}","{434.36541748046875, 386.05108642578125}","{269.4035339355469, 110.84454345703125}",Missing[],"{387.9239501953125, 539.2109375}"
"{914.6514282226562, 539.0848388671875}","{834.3316650390625, 465.8460388183594}","{434.11700439453125, 389.09942626953125}","{270.59979248046875, 113.08624267578125}",Missing[],"{386.8822326660156, 540.6930541992188}"
"{915.8284912109375, 538.7034301757812}","{834.822265625, 465.9168701171875}","{434.1274108886719, 387.6070556640625}","{271.0192565917969, 113.35662841796875}",Missing[],"{387.1793212890625, 540.817626953125}"
"{915.4627075195312, 539.0845947265625}","{832.76904296875, 466.13238525390625}","{436.38287353515625, 387.73492431640625}","{272.675048828125, 112.31683349609375}",Missing[],"{385.4573974609375, 541.214111328125}"
"{916.2556762695312, 541.1871948242188}","{832.8655395507812, 466.37762451171875}","{438.11981201171875, 387.7237243652344}","{272.7998962402344, 113.22662353515625}",Missing[],"{385.6996765136719, 541.1928100585938}"
"{916.1240234375, 540.1058349609375}","{833.84326171875, 467.0094909667969}","{437.01904296875, 385.51165771484375}","{271.7608947753906, 113.34454345703125}",Missing[],"{385.5051574707031, 540.71728515625}"
"{916.3792114257812, 540.58837890625}","{831.036865234375, 465.3570556640625}","{437.9042663574219, 387.6125793457031}","{271.7032165527344, 112.927001953125}",Missing[],"{385.1805725097656, 541.8985595703125}"
"{915.49462890625, 541.4976196289062}","{829.2256469726562, 462.27288818359375}","{440.1097412109375, 387.2656555175781}","{273.7437438964844, 111.19842529296875}",Missing[],"{384.1908874511719, 540.7628784179688}"
"{916.4603271484375, 542.09521484375}","{829.3948364257812, 463.7177429199219}","{441.5345764160156, 388.6902770996094}","{273.81622314453125, 110.59893798828125}",Missing[],"{384.2998046875, 540.5738525390625}"
"{915.464111328125, 542.6693115234375}","{828.1580200195312, 463.55853271484375}","{438.88623046875, 386.3388366699219}","{272.9312438964844, 108.0567626953125}",Missing[],"{383.2823181152344, 538.67236328125}"
"{916.1143188476562, 542.856201171875}","{829.2628173828125, 463.7490234375}","{437.3509521484375, 386.97027587890625}","{273.38470458984375, 107.5172119140625}",Missing[],"{385.0953674316406, 540.6231079101562}"
"{915.9859619140625, 541.1375732421875}","{830.4578857421875, 464.302001953125}","{438.9197692871094, 386.72607421875}","{274.89556884765625, 108.30108642578125}",Missing[],"{387.0331115722656, 542.7858276367188}"
"{915.36669921875, 540.5534057617188}","{832.2544555664062, 465.4830627441406}","{437.7825927734375, 388.2906494140625}","{275.725830078125, 108.25677490234375}",Missing[],"{384.5521545410156, 541.171142578125}"
"{916.2794799804688, 540.236572265625}","{834.0174560546875, 464.0559387207031}","{436.64617919921875, 385.7995300292969}","{279.1287841796875, 108.8443603515625}",Missing[],"{383.60430908203125, 540.0592041015625}"
"{915.899658203125, 540.9498291015625}","{832.2469482421875, 464.37579345703125}","{436.3394470214844, 386.63323974609375}","{276.3251953125, 110.15057373046875}",Missing[],"{382.7876281738281, 537.8359375}"
"{914.8953857421875, 539.2830810546875}","{830.896240234375, 461.25384521484375}","{435.4377746582031, 382.4138488769531}","{277.7466735839844, 107.83868408203125}",Missing[],"{382.6453857421875, 535.6207885742188}"
"{914.3667602539062, 537.3665161132812}","{830.3921508789062, 461.0655212402344}","{435.2909240722656, 380.8199157714844}","{277.8154602050781, 106.179443359375}",Missing[],"{384.0405578613281, 535.24755859375}"
"{914.66845703125, 538.3488159179688}","{831.3102416992188, 457.45306396484375}","{435.42449951171875, 382.77001953125}","{277.5094909667969, 105.37957763671875}",Missing[],"{383.40643310546875, 533.7553100585938}"
"{915.3228149414062, 538.2559814453125}","{832.9159545898438, 456.22607421875}","{434.6311950683594, 381.8673400878906}","{278.4268798828125, 106.29217529296875}",Missing[],"{383.6209716796875, 533.8311767578125}"
"{915.4359741210938, 536.9189453125}","{832.8212280273438, 456.8233642578125}","{436.9529724121094, 387.1311950683594}","{277.95654296875, 108.508544921875}",Missing[],"{382.3777160644531, 534.899658203125}"
"{916.0269165039062, 537.6486206054688}","{830.962646484375, 456.0990905761719}","{438.3525085449219, 388.9725341796875}","{279.3641662597656, 109.12298583984375}",Missing[],"{383.674072265625, 537.249267578125}"
"{915.8157348632812, 538.4938354492188}","{828.8304443359375, 456.01123046875}","{436.6510925292969, 389.16778564453125}","{278.55450439453125, 108.36083984375}",Missing[],"{382.66009521484375, 537.775390625}"
"{916.4766845703125, 541.2522583007812}","{829.2967529296875, 456.73297119140625}","{435.8706970214844, 391.0492858886719}","{279.936767578125, 109.83270263671875}",Missing[],"{381.5699768066406, 540.2156372070312}"
"{917.1976928710938, 541.7997436523438}","{830.8196411132812, 457.0462341308594}","{436.253662109375, 391.3517761230469}","{279.6014709472656, 110.44866943359375}",Missing[],"{382.1289978027344, 540.44775390625}"
"{917.4767456054688, 541.8746948242188}","{829.7089233398438, 456.1590576171875}","{435.273681640625, 389.7921142578125}","{278.3388977050781, 110.2764892578125}",Missing[],"{381.99932861328125, 538.6194458007812}"
"{915.354736328125, 541.875}","{830.82470703125, 456.6775207519531}","{437.283203125, 391.420166015625}","{278.7079772949219, 111.46673583984375}",Missing[],"{381.1498718261719, 538.3087158203125}"
"{915.354736328125, 541.875}","{830.82470703125, 456.6775207519531}","{437.283203125, 391.420166015625}","{278.7079772949219, 111.46673583984375}",Missing[],"{381.1498718261719, 538.3087158203125}"
"{916.690673828125, 544.2265625}","{831.6486206054688, 457.64874267578125}","{437.4169921875, 388.3269958496094}","{276.0129089355469, 113.90631103515625}",Missing[],"{381.20172119140625, 537.465576171875}"
"{918.4583740234375, 543.4888305664062}","{832.7557983398438, 458.2205810546875}","{435.31060791015625, 387.07220458984375}","{273.5514221191406, 114.02197265625}",Missing[],"{379.59796142578125, 535.9214477539062}"
"{917.9271850585938, 542.8973388671875}","{832.9774169921875, 457.87799072265625}","{436.55712890625, 385.63330078125}","{273.9217224121094, 113.45135498046875}",Missing[],"{382.7149658203125, 539.0858764648438}"
"{919.3269653320312, 540.9420166015625}","{833.0466918945312, 458.4089050292969}","{435.5813293457031, 384.66839599609375}","{275.0320739746094, 112.276611328125}",Missing[],"{384.98651123046875, 537.4474487304688}"
"{917.8339233398438, 540.8019409179688}","{834.3026733398438, 461.290283203125}","{433.49786376953125, 383.3551330566406}","{273.50543212890625, 113.9625244140625}",Missing[],"{383.8430480957031, 539.29345703125}"
"{917.2494506835938, 540.82373046875}","{836.4965209960938, 461.1651916503906}","{433.842529296875, 387.3529357910156}","{272.1197814941406, 115.754150390625}",Missing[],"{383.31378173828125, 542.4170532226562}"
"{917.2278442382812, 541.7285766601562}","{838.1702880859375, 462.665283203125}","{432.6614685058594, 387.8471374511719}","{272.82757568359375, 114.76153564453125}",Missing[],"{382.7152404785156, 540.939208984375}"
"{916.962158203125, 541.0836181640625}","{836.9288330078125, 462.1009521484375}","{430.78387451171875, 388.43243408203125}","{271.9696960449219, 115.2735595703125}",Missing[],"{385.3942565917969, 539.1818237304688}"
