"{873.1021118164062, 293.6616516113281}","{882.8592529296875, 507.6835021972656}","{605.9580688476562, 638.31396484375}","{349.8870849609375, 407.1067810058594}"
"{873.2205200195312, 292.3750305175781}","{882.1617431640625, 510.0696105957031}","{608.8394165039062, 636.67333984375}","{350.4490966796875, 405.5615539550781}"
"{872.3699340820312, 292.2113952636719}","{883.7268676757812, 511.54302978515625}","{606.46728515625, 638.8306274414062}","{350.66607666015625, 403.6579284667969}"
"{875.0277709960938, 293.49847412109375}","{884.4649047851562, 512.939453125}","{606.9196166992188, 637.63818359375}","{351.11419677734375, 403.4149169921875}"
"{875.0277709960938, 293.49847412109375}","{884.4649047851562, 512.939453125}","{606.9196166992188, 637.63818359375}","{351.11419677734375, 403.4149169921875}"
"{876.7452392578125, 290.7420349121094}","{881.5725708007812, 513.58935546875}","{606.3045654296875, 634.808349609375}","{351.8326110839844, 403.45648193359375}"
"{876.8622436523438, 291.4640197753906}","{881.7760620117188, 513.9041137695312}","{605.8084106445312, 636.0653076171875}","{350.8939514160156, 403.966796875}"
"{877.682373046875, 291.44061279296875}","{882.9242553710938, 514.2056274414062}","{604.2559204101562, 636.5654296875}","{351.5705261230469, 404.7724609375}"
"{878.06201171875, 290.0602111816406}","{881.9015502929688, 512.48193359375}","{606.0177612304688, 637.11376953125}","{352.72174072265625, 403.4186706542969}"
"{877.9393310546875, 291.8592224121094}","{881.000732421875, 511.888916015625}","{605.0247802734375, 636.74658203125}","{350.4347229003906, 400.36419677734375}"
"{877.9393310546875, 291.8592224121094}","{881.000732421875, 511.888916015625}","{605.0247802734375, 636.74658203125}","{350.4347229003906, 400.36419677734375}"
"{878.3035888671875, 293.76910400390625}","{883.5625610351562, 507.060546875}","{600.8678588867188, 639.4344482421875}","{352.1090393066406, 398.606689453125}"
"{878.9036865234375, 293.15423583984375}","{884.3949584960938, 506.45123291015625}","{601.2081909179688, 639.8209228515625}","{350.4730529785156, 397.273193359375}"
"{879.5885620117188, 292.5246887207031}","{885.2900390625, 505.38751220703125}","{600.9002075195312, 640.6727294921875}","{351.19122314453125, 397.2754211425781}"
"{877.8543090820312, 292.0661926269531}","{884.8856811523438, 504.40032958984375}","{600.2626342773438, 638.1058959960938}","{351.2140808105469, 399.7819519042969}"
"{876.27880859375, 290.66400146484375}","{885.06494140625, 505.25787353515625}","{600.4650268554688, 638.1612548828125}","{351.61810302734375, 400.7013244628906}"
"{875.662109375, 288.51922607421875}","{885.47509765625, 504.3279113769531}","{604.4259643554688, 638.8405151367188}","{350.2069091796875, 399.18402099609375}"
"{874.9780883789062, 286.4420471191406}","{886.0452270507812, 505.8184814453125}","{601.4339599609375, 638.16748046875}","{350.983642578125, 397.7950439453125}"
"{874.2942504882812, 287.2721862792969}","{886.8391723632812, 506.543701171875}","{601.2359619140625, 637.5570678710938}","{354.6368103027344, 397.8828430175781}"
"{875.2147216796875, 284.1800842285156}","{886.2203369140625, 504.8012390136719}","{601.5194702148438, 638.6796875}","{353.5285339355469, 393.73150634765625}"
"{875.6099853515625, 284.3308410644531}","{886.13525390625, 504.9599914550781}","{600.1446533203125, 637.1671142578125}","{354.5451965332031, 390.4180908203125}"
"{875.169677734375, 284.7497863769531}","{886.9335327148438, 505.5640563964844}","{599.9193725585938, 637.646240234375}","{351.9622497558594, 392.9269104003906}"
"{876.3161010742188, 285.2807312011719}","{885.7992553710938, 505.8398742675781}","{599.13037109375, 637.642333984375}","{352.79376220703125, 393.9962158203125}"
"{876.3924560546875, 283.970458984375}","{884.9694213867188, 503.5936584472656}","{599.490478515625, 636.40869140625}","{350.8712158203125, 394.38287353515625}"
"{873.3466186523438, 282.2049865722656}","{883.2611694335938, 502.9195861816406}","{602.3372192382812, 637.0772705078125}","{348.68524169921875, 394.3623962402344}"
"{873.3466186523438, 282.2049865722656}","{883.2611694335938, 502.9195861816406}","{602.3372192382812, 637.0772705078125}","{348.68524169921875, 394.3623962402344}"
"{871.7111206054688, 282.9407043457031}","{882.3888549804688, 503.9147644042969}","{601.9038696289062, 637.5947875976562}","{347.3396911621094, 396.9209289550781}"
"{870.443359375, 284.2942199707031}","{884.063232421875, 502.34661865234375}","{600.53857421875, 637.8673095703125}","{349.31427001953125, 395.95513916015625}"
"{870.8147583007812, 283.60888671875}","{883.3265991210938, 501.99505615234375}","{600.4844970703125, 639.6040649414062}","{348.6273498535156, 396.435791015625}"
"{870.7581176757812, 281.5401306152344}","{882.8180541992188, 502.77691650390625}","{599.600341796875, 640.4754028320312}","{348.0418395996094, 398.6755676269531}"
"{873.0773315429688, 282.8734130859375}","{883.6890258789062, 504.69049072265625}","{598.1860961914062, 642.2017211914062}","{347.6163635253906, 398.6512145996094}"
"{874.2846069335938, 282.969482421875}","{884.37060546875, 505.11956787109375}","{598.2755737304688, 642.8433837890625}","{347.59332275390625, 396.6579895019531}"
"{874.1055297851562, 281.9222106933594}","{884.1246948242188, 506.8792419433594}","{596.055419921875, 642.87060546875}","{350.3800354003906, 395.5956726074219}"
