"{973.2496337890625, 486.43743896484375}","{431.947021484375, 339.8377380371094}","{571.270263671875, 503.5487060546875}","{494.176025390625, 114.02386474609375}","{775.77734375, 95.1951904296875}","{857.003173828125, 361.281494140625}","{833.9691772460938, 251.5499267578125}","{678.81201171875, 345.35125732421875}","{755.6997680664062, 308.7128601074219}","{677.53515625, 198.37677001953125}","{593.7128295898438, 266.2973327636719}","{479.0150451660156, 675.08642578125}","{322.5550537109375, 604.9459838867188}","{313.448486328125, 676.4839477539062}"
"{973.2706909179688, 485.4117431640625}","{429.3387756347656, 337.834716796875}","{568.6183471679688, 500.6135559082031}","{494.1314392089844, 112.133056640625}","{776.661376953125, 94.0201416015625}","{857.4779052734375, 361.1959533691406}","{833.19873046875, 251.9920654296875}","{681.8717651367188, 344.38067626953125}","{754.165771484375, 308.6953125}","{677.6747436523438, 199.93231201171875}","{593.119140625, 263.67132568359375}","{478.7432861328125, 673.8263549804688}","{320.63818359375, 603.46923828125}","{314.2908935546875, 676.6563720703125}"
"{971.33544921875, 486.4415588378906}","{428.95513916015625, 338.1088562011719}","{569.5491943359375, 498.8062438964844}","{492.1966552734375, 113.946044921875}","{775.1719360351562, 94.84710693359375}","{855.3798828125, 363.1164855957031}","{832.6051025390625, 251.1329345703125}","{681.1431274414062, 345.7638244628906}","{756.8150024414062, 308.7018127441406}","{677.4970703125, 200.53924560546875}","{589.6537475585938, 262.6555480957031}","{478.15142822265625, 673.1423950195312}","{318.9449157714844, 605.7482299804688}","{315.017333984375, 676.5602416992188}"
"{972.4840087890625, 485.1020202636719}","{427.9040222167969, 340.114013671875}","{570.156005859375, 498.7070617675781}","{489.2065124511719, 114.251220703125}","{776.8279418945312, 96.62646484375}","{853.4107666015625, 362.8960876464844}","{831.9608154296875, 250.19720458984375}","{682.47802734375, 345.5982666015625}","{757.4161376953125, 310.1824951171875}","{677.34912109375, 202.47406005859375}","{591.27392578125, 262.42901611328125}","{479.9472961425781, 671.1697998046875}","{316.3587646484375, 608.7567138671875}","{313.61224365234375, 676.6937255859375}"
"{971.6165771484375, 484.4505310058594}","{427.5632019042969, 339.2548522949219}","{570.60888671875, 497.49639892578125}","{492.3936767578125, 115.12567138671875}","{777.8905639648438, 96.32049560546875}","{852.2015380859375, 360.3744812011719}","{831.4927978515625, 248.024169921875}","{684.1809692382812, 343.4477233886719}","{756.5121459960938, 308.74420166015625}","{675.8662719726562, 200.40838623046875}","{590.0474243164062, 261.2752990722656}","{480.17822265625, 671.9613037109375}","{315.0812683105469, 607.2700805664062}","{314.0070495605469, 677.7794189453125}"
"{971.002197265625, 483.85150146484375}","{427.60809326171875, 339.06646728515625}","{572.4628295898438, 496.1297607421875}","{492.28900146484375, 115.72760009765625}","{776.2503662109375, 96.58209228515625}","{850.4652099609375, 362.15313720703125}","{832.7152709960938, 248.36669921875}","{684.74169921875, 343.0965576171875}","{756.363525390625, 308.68182373046875}","{676.0813598632812, 201.2230224609375}","{590.7951049804688, 261.3810119628906}","{479.625244140625, 668.8560180664062}","{313.3817138671875, 608.7164916992188}","{312.4714050292969, 679.0711059570312}"
"{968.7360229492188, 482.7881164550781}","{428.6924743652344, 337.9677429199219}","{570.8565673828125, 497.97149658203125}","{494.4366455078125, 116.95556640625}","{777.2603759765625, 96.39617919921875}","{853.0748291015625, 363.4459533691406}","{834.1588134765625, 248.168212890625}","{684.5159912109375, 342.76226806640625}","{754.6015625, 308.917236328125}","{677.1314086914062, 200.60205078125}","{591.7748413085938, 262.5130310058594}","{479.0389404296875, 667.3720703125}","{312.40008544921875, 607.720947265625}","{311.1847229003906, 679.2451171875}"
"{966.6502685546875, 483.8487854003906}","{427.088134765625, 337.7559509277344}","{571.4083862304688, 498.1018981933594}","{495.0020446777344, 116.16448974609375}","{777.8680419921875, 97.619140625}","{853.5819702148438, 365.58551025390625}","{833.8840942382812, 249.60009765625}","{683.4996948242188, 342.9001770019531}","{752.860595703125, 310.8354187011719}","{675.88623046875, 201.112548828125}","{591.2274780273438, 265.3697204589844}","{481.81646728515625, 667.6189575195312}","{312.1798095703125, 609.865478515625}","{312.0622863769531, 676.8040771484375}"
"{968.28173828125, 483.5556640625}","{426.1562805175781, 336.70758056640625}","{568.9229736328125, 493.9835205078125}","{494.13909912109375, 116.482666015625}","{778.5653686523438, 97.79412841796875}","{852.7395629882812, 366.3138732910156}","{831.651611328125, 250.9423828125}","{681.0388793945312, 346.450927734375}","{752.9622802734375, 313.7731628417969}","{675.6337280273438, 200.98974609375}","{590.604248046875, 266.0770263671875}","{481.9939880371094, 669.6922607421875}","{312.5179138183594, 609.92333984375}","{311.9443664550781, 679.5172119140625}"
"{967.6513061523438, 481.9416809082031}","{425.6328125, 335.38836669921875}","{570.656982421875, 491.11724853515625}","{495.0326232910156, 115.2491455078125}","{780.030517578125, 97.5638427734375}","{851.39208984375, 366.7334899902344}","{830.050537109375, 249.3638916015625}","{679.590087890625, 347.1998291015625}","{752.7391967773438, 315.7432556152344}","{675.8635864257812, 202.1395263671875}","{590.8662719726562, 265.2032470703125}","{483.20233154296875, 667.5004272460938}","{312.1729431152344, 608.67822265625}","{312.4487609863281, 680.44384765625}"
